Variety,Gemstone,Mineral,Colors,Refractive Index Low,Refractive Index High,Bifringence Low,Bifringence High,Specific Gravity,Mohs Hardness Low,Mohs Hardness High,Price Per Carat
Zircon,, Zircon," Blue, red, yellow, orange, brown, green",1.81,1.925, 0.000,0.059,4.315,6,7.5,25
Turquoise,,Turquoise, Blue,1.61,1.65,0,, 2.76, 5 ,6,2.5
Tourmaline,Tourmaline,Tourmaline,All colors,1.624,1.644, 0.018,0.04, 3.06, 7,7.5,25
Elbaite,Tourmaline,Tourmaline,All colors,1.624,1.644, 0.018,0.04, 3.06, 7,7.5,25
Dravite,Tourmaline,Tourmaline,All colors,1.624,1.644, 0.018,0.04, 3.06, 7,7.5,25
Liddioatite,Tourmaline,Tourmaline,All colors,1.624,1.644, 0.018,0.04, 3.06, 7,7.5,25
Chromedravite,Tourmaline,Tourmaline,All colors,1.624,1.644, 0.018,0.04, 3.06, 7,7.5,25
Topaz,,Topaz,All colors,1.619,1.627, 0.008,0.01, 3.53, 8,,7
Tanzanite,,Zoisite," Blue,  violet, purple",1.691,1.7, 0.008,0.013, 3.35, 6,7,116
Orthoclase,Sunstone,Feldspar  ,"Yellow, green, red, red-brown, colorless",1.518,1.526,0.005,0.008,2.58,  6.0,7.2,20
Oligoclase,Sunstone,Feldspar  ,"Yellow, green, red, red-brown, colorless",1.537,1.547,0.007,0.01,2.65,  6.0,7.2,20
labradorite,Sunstone,Feldspar  ,"Yellow, green, red, red-brown, colorless",1.559,1.568,0.007,0.01,2.7,  6.0,7.2,25
Sapphire,Sapphire, Corundum,orange, 1.762,1.77, 0.008,0.01, 4.00, 9, 9,50
Sapphire,Sapphire, Corundum,yellow, 1.762,1.77, 0.008,0.01, 4.00, 9, 9,50
Sapphire,Sapphire, Corundum,blue, 1.762,1.77, 0.008,0.01, 4.00, 9, 9,2800
Sapphire,Sapphire, Corundum,pink, 1.762,1.77, 0.008,0.01, 4.00, 9, 9,500
Sapphire,Sapphire, Corundum,colorless, 1.762,1.77, 0.008,0.01, 4.00, 9, 9,120
Spinel,,   spinel," red, orange, pink, purple, blue, black", 1.718,,0,0, 3.60, 8, 8,3
Ruby,, Corundum,Red, 1.762,1.77, 0.008,0.01, 4.00, 9, 9,25
Rose Quartz,, Quartz,pink, 1.544,1.553, 2.66,2.66, 7,,,5
Peridot,, Olivine, green, 1.65,1.69, 0.035 ,0.038, 3.34, 6.5,7,10
Pearl,, Calcium Carbonate,All colors, 1.52,1.69, 2.60,2.85, 2.5,,,5
Opal,, Hydrated Silica,All colors, 1.37,1.47,0,0, 2.15, 5,6.5,40
Morganite,, Beryl ,pink, 1.583,1.59, 0.007,0.008,   2.80, 7.5,8,100
Moonstone,, Feldspar,"Colorless, White, Gray, Green, Peach, Brown", 1.518,1.526, 0.05,0.008, 2.58, 6.0 ,6.5,
Lapis Lazuli,, Rock,Blue, 1.500,1.67,0,, 2.75,,,1
Kunzite,, Spodumene, Pink, 1.660,1.676, 0.014,0.016, 3.18, 6.5,7,43
Jade,, Jadeite,"  Green, white, orange, yellow, lavender, black",1.606,1.68,0,0, 3.34,6,7,7
Iolite,, Iolite, Blue, 1.542,1.551, 0.045, 0.045, 2.61, 7.0 ,7.5,46
Garnet,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Almandine,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Andradite,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Pyrope,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Grossular,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Rhodolite,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Spessartine,, Garnet, All colors, 1.714,1.888,0,0,3.81, 6.5,7.5,30
Emerald,, Beryl, green, 1.577,1.583, 0.005,0.009,   2.72, 7.5,8,500
Diamond,, Diamond, Colorless, 2.42,,0,0, 3.52, 10, 10,2000
Citrine,, Quartz," Yellow, orange, red", 1.544,1.553, 2.66, 2.66,, 7, 7,7
Aquamarine,, beryl,blue, 1.577,1.583, 0.005,0.009, 2.72, 7.5,8,50
Ametrine,, Quartz," orange, yellow, purple", 1.544,1.553, 2.66, 2.66,, 7, 7,6
Amethyst,, Quartz, Purple, 1.544,1.553, 0.009, 0.009, 2.66, 7, 7,7
Amber,,Organic," Yellow, orange, brown", 1.540, 1.540, 1.08, 1.08, 2.0, 2.0,2.5,
Alexandrite,, Chrysoberyl,"green, red", 1.746,1.755, 0.008,0.01, 3.73, 8.5, 8.5,5000
